Track Name,Album Name,Lyrics,No_of_Characters,No_of_Words
"C'mon, C'mon by One Direction",Take Me Home by One Direction,"c'mon, c'mon ooh  the one that i came with she had to go but you look amazing standing alone  so, c'mon, c'mon move a little closer now c'mon, c'mon ain't no way you're walking out c'mon, c'mon show me what you're all about  yeah, i've been watching you all night there's something in your eyes saying, ""c'mon, c'mon, and dance with me, baby"" yeah, the music is so loud, i wanna be yours now so c'mon, c'mon, and dance with me, baby  the one that i came with didn't know how to move ohohohoh the way that you let your hair down i can tell that you do  so, c'mon, c'mon move a little closer now c'mon, c'mon ain't no way you're walking out c'mon, c'mon show me what you're all about  yeah, i've been watching you all night there's something in your eyes saying, ""c'mon, c'mon, and dance with me, baby"" yeah, the music is so loud, i wanna be yours now so c'mon, c'mon, and dance with me, baby  and every step i take, i feel it more and more she's calling out, she's a lucky girl my heart is racing, she's turning around i reach for her hand and i say  hey, i've been watching you all night there's something in your eyes saying, ""c'mon, c'mon, and dance with me, baby"" yeah, the music is so loud, i wanna be yours now so c'mon, c'mon, and dance with me, baby yeah, yeah c'mon, c'mon ooh c'mon, c'mon ooh c'mon, c'mon, and dance with me, baby11",1357,339
California by Lana Del Rey,Norman Fucking Rockwell by Lana Del Rey,"one, two, three, four  you don't ever have to be stronger than you really are when you're lying in my arms, baby you don't ever have to go faster than your fastest pace or faster than my fastest cars  i shouldn't have done it, but i read it in your letter you said to a friend that you wish you were doing better i wanted to reach out, but i never said a thing i shouldn't have done it, but i read it in your letter you said to a friend that you wish you were doing better i wanted to call you, but i didn't say a thing two, three, four  oh, i'll pick you up if you come back to america, just hit me up 'cause this is crazy love, i'll catch you on the flip side if you come back to california, you should just hit me up we'll do whatever you want, travel wherever how far we'll hit up all the old places we'll have a party, we'll dance 'til dawn i'll pick up all of your vogues and all of your rolling stones your favorite liquor off the top shelf i'll throw a party all night long  you don't ever have to be stronger than you really are when you're lying in my arms, and, honey you don't ever have to act cooler than you think you should you're brighter than the brightest stars  you're scared to win, scared to lose i've heard the war was over if you really choose the one in and around you you hate the heat, you got the blues changing like the weather, oh, that's so like you the santa ana moves you two, three, four  oh, i'll pick you up if you come back to america, just hit me up 'cause this is crazy love, i'll catch you on the flip side if you come back to california, you should just hit me up we'll do whatever you want, travel wherever how far we'll hit up all the old places we'll have a party, we'll dance 'til dawn i'll pick up all of your vogues and all of your rolling stones your favorite liquor off the top shelf i'll throw a party all night long oh, i'll pick you up if you come back to america, just hit me up 'cause this is crazy love, i'll catch you on the flip side if you come back to california, you should just hit me up",2053,487
Can't Buy Me Love by The Beatles,A Hard Day’s Night by The Beatles,"can't buy me love, love can't buy me love  i'll buy you a diamond ring, my friend if it makes you feel alright i'll get you anything, my friend if it makes you feel alright 'cause i don't care too much for money money can't buy me love  i'll give you all i've got to give if you say you love me, too i may not have a lot to give but what i got, i'll give to you i don't care too much for money money can't buy me love  can't buy me love, everybody tells me so can't buy me love, nonono, no!  say you don't need no diamond rings and i'll be satisfied tell me that you want the kind of things that money just can't buy i don't care too much for money money can't buy me love ow!   buy me love, everybody tells me so can't buy me love, nonono, no!  say you don't need no diamond rings and i'll be satisfied tell me that you want the kind of things that money just can't buy i don't care too much for money money can't buy me love  can't buy me love, love can't buy me love9",979,243
Carmen by Lana Del Rey,Born to Die by Lana Del Rey,"darlin', darlin' doesn't have a problem lyin' to herself 'cause her liquor's top shelf it's alarming, honestly, how charming she can be fooling everyone, telling 'em she's having fun  she says, ""you don't wanna be like me don't wanna see all the things i've seen i'm dyin', i'm dyin'"" she says, ""you don't wanna get this way famous and dumb at an early age lyin', i'm lyin""  the boys, the girls, they all like carmen she gives them butterflies, bats her cartoon eyes she laughs like god, her mind's like a diamond audiotune lies, she's still shinin' like lightning, ohoh like lightning  carmen, carmen, stayin' up 'til morning only seventeen, but she walks the streets so mean it's alarming, truly, how disarmin' you can be eatin' soft ice cream, coney island queen  she says, ""you don't wanna be like me lookin' for fun, gettin' high for free i'm dyin', i'm dyin'"" she says, ""you don't wanna get this way street walk at night and a star by day it's tirin', tirin'""  the boys, the girls, they all like carmen she gives them butterflies, bats her cartoon eyes she laughs like god, her mind's like a diamond audiotune lies, she's still shinin' like lightning, ohoh like lightning  baby's all dressed up with nowhere to go that's the little story of the girl you know relyin' on the kindness of strangers tyin' cherry knots, smilin', doin' party favors put your red dress on, put your lipstick on sing your song, song, now the camera's on and you're alive again  mon amour, je sais que tu m'aimes aussi tu as besoin de moi, tu as besoin de moi dans ta vie tu ne peux vivre sans moi et je mourrais sans toi je tuerais pour toi the boys, the girls, they all like carmen she gives them butterflies, bats her cartoon eyes she laughs like god, her mind's like a diamond audiotune lies, she's still shinin' like lightning, ohoh like lightning like lightning, ohoh like lightning  darlin', darlin' doesn't have a problem lyin' to herself 'cause her liquor's top shelf",1961,460
Castle On The Hill by Ed Sheeran,÷ Divide by Ed Sheeran,"when i was six years old, i broke my leg i was runnin' from my brother and his friends and tasted the sweet perfume of the mountain grass i rolled down i was younger then, take me back to when i  found my heart and broke it here made friends and lost them through the years and i've not seen the roaring fields in so long, i know i've grown but i can't wait to go home  i'm on my way drivin' at ninety down those country lanes singin' to ""tiny dancer"" and i miss the way you make me feel and it's real we watched the sunset over the castle on the hill  fifteen years old and smoking handrolled cigarettes runnin' from the law through the backfields and gettin' drunk with my friends had my first kiss on a friday night, i don't reckon that i did it right but i was younger then, take me back to when  we found weekend jobs, when we got paid we'd buy cheap spirits and drink them straight me and my friends have not thrown up in so long, oh, how we've grown but i can't wait to go home  i'm on my way drivin' at ninety down those country lanes singin' to ""tiny dancer"" and i miss the way you make me feel and it's real we watched the sunset over the castle on the hill over the castle on the hill over the castle on the hill  one friend left to sell clothes one works down by the coast one had two kids but lives alone one's brother overdosed one's already on his second wife one's just barely gettin' by but these people raised me and i can't wait to go home  and i'm on my way, i still remember these old country lanes when we did not know the answers and i miss the way you make me feel and it's real we watched the sunset over the castle on the hill over the castle on the hill over the castle on the hill91",1779,396
Cemeteries of London by Coldplay,Viva La Vida or Death and All His Friends by Coldplay,"at night, they would go walkin' 'til the breakin' of the day the mornin' is for sleepin' through the dark streets, they go searchin' to see god in their own way save the nighttime for your weepin' your weepin'  singin' lalalalalalalay and the night over london lay  so we rode down to the river where victorian ghosts pray for their curses to be broken we go wander 'neath the arches where the witches are, and they say ""there are ghost towns in the ocean"" the ocean  singin' lalalalalalalay and the night over london lay   god is in the houses, and god is in my head and all the cemeteries of london i see god come in my garden, but i don't know what he said for my heart, it wasn't open not open      singin' lalalalalalalay and the night over london lay singin' lalalalalalalay there's no light over london today",839,171
Chains by The Beatles,Please Please Me by The Beatles,"chains, my baby's got me locked up in chains and they ain't the kind that you can see whoa, these chains of love got a hold on me, yeah  chains, well, i can't break away from these chains can't run around, 'cause i'm not free whoa, oh, these chains of love won't let me be, yeah  i wanna tell you, pretty baby i think you're fine i'd like to love you but, darling, i'm imprisoned by these  chains, my baby's got me locked up in chains and they ain't the kind that you can see whoa, oh, these chains of love got a hold on me, yeah  please believe me when i tell you your lips are sweet i'd like to kiss them but i can't break away from all of these  chains, my baby's got me locked up in chains and they ain't the kind that you can see whoa, oh, these chains of love got a hold on me, yeah  chains chains of love chains of love chains of love2",847,208
Change My Mind by One Direction,Take Me Home by One Direction,"the end of the night, we should say goodbye but we carry on while everyone's gone  never felt like this before are we friends or are we more as i'm walking towards the door i'm not sure  but, baby, if you say you want me to stay, i'll change my mind 'cause i don't wanna know i'm walkin' away if you'll be mine won't go, won't go so, baby, if you say you want me to stay, stay for the night i'll change my mind  lean in when you laugh, we take photographs there's no music on, but we dance along  never felt like this before are we friends or are we more as i'm walking towards the door i'm not sure  but, baby, if you say you want me to stay, i'll change my mind 'cause i don't wanna know i'm walkin' away if you'll be mine won't go, won't go so, baby, if you say you want me to stay, stay for the night i'll change my mind  i'll change my mind  baby, if you say you want me to stay, i'll change my mind  but, baby, if you say you want me to stay, i'll change my mind 'cause i don't wanna know i'm walkin' away if you'll be mine won't go, won't go so, baby, if you say you want me to stay, stay for the night i'll change my mind20",1138,298
Change by Lana Del Rey,Lust for Life by Lana Del Rey,"there's somethin' in the wind, i can feel it blowin' in it's comin' in softly on the wings of a bomb there's somethin' in the wind, i can feel it blowin' in it's comin' in hotly and it's coming in strong  lately, i've been thinkin' it's just someone else's job to care who am i to sympathize when no one gave a damn i've been thinkin' it's just someone else's job to care who am i to wanna try but  change is a powerful thing, people are powerful beings tryin' to find the power in me to be faithful change is a powerful thing, i feel it comin' in me maybe by the time summer's done i'll be able to be honest, capable of holdin' you in my arms without lettin' you fall when i don't feel beautiful or stable maybe it's enough to just be where we are because  every time that we run, we don't know what it's from now we finally slow down, we feel close to it there's a change gonna come, i don't know where or when but whenever it does, we'll be here for it  there's somethin' in the wind, i can feel it blowin' in it's comin' in softly on the wings of a song there's somethin' in the water, i can taste it turnin' sour it's bitter, i'm coughing, but now it's in my blood  lately, i've been thinkin' it's just someone else's job to care who am i to sympathize when no one gave a damn i've been thinkin' it's just someone else's job to care 'cause who am i to wanna try but  change is a powerful thing, people are powerful beings tryin' to find the power in me to be faithful change is a powerful thing, i feel it comin' in me maybe by the time summer's done i'll be able to be honest, capable of holdin' you in my arms without letting you fall when i don't feel beautiful or stable maybe it's enough to just be where we are, because  every time that we run, we don't know what it's from now we finally slow down, we feel close to it there's a change gonna come, i don't know where or when but whenever it does, we'll be here for it mmm yeah, whenever it does, we'll be here for it mmm whenever it does, we'll be here for it",2021,498
Change by Taylor Swift,Fearless Platinum Edition by Taylor Swift,"and it's a sad picture, the final blow hits you somebody else gets what you wanted again and you know it's all the same, another time and place repeating history and you're getting sick of it but i believe in whatever you do and i'll do anything to see it through  because these things will change can you feel it now these walls that they put up to hold us back will fall down this revolution, the time will come for us to finally win and we'll sing hallelujah, we'll sing hallelujah oh, oh  so we've been outnumbered, raided, and now, cornered it's hard to fight when the fight ain’t fair we're getting stronger now, find things they never found they might be bigger but we're faster and never scared you can walk away, say we don't need this but there's something in your eyes says we can beat this  'cause these things will change can you feel it now these walls that they put up to hold us back will fall down this revolution, the time will come for us to finally win and we'll sing hallelujah, we'll sing hallelujah oh, oh  tonight, we stand, get off our knees fight for what we've worked for all these years and the battle was long, it's the fight of our lives but we'll stand up champions tonight  it was the night things changed can you see it now these walls that they put up to hold us back fell down it's a revolution, throw your hands up 'cause we never gave in and we'll sing hallelujah, we sang hallelujah hallelujah",1431,308
Changes by David Bowie,Hunky Dory by David Bowie,"oh yeah mmm  still don't know what i was waiting for and my time was running wild, a million deadend streets and every time i thought i'd got it made it seemed the taste was not so sweet so i turned myself to face me but i've never caught a glimpse of how the others must see the faker i'm much too fast to take that test  chchchchchanges turn and face the strange chchchanges, don't want to be a richer man chchchchchanges turn and face the strange chchchanges, just gonna have to be a different man time may change me but i can't trace time  oh yeah  i watch the ripples change their size but never leave the stream of warm impermanence and so the days float through my eyes but still the days seem the same and these children that you spit on as they try to change their worlds are immune to your consultations they're quite aware of what they're going through  chchchchchanges turn and face the strange chchchanges, don't tell them to grow up and out of it chchchchchanges turn and face the strange chchchanges, where's your shame you've left us up to our necks in it time may change me but you can't trace time  strange fascination, fascinating me ah, changes are taking the pace i'm going through  chchchchchanges turn and face the strange chchchanges, oh, look out you rock 'n' rollers chchchchchanges turn and face the strange chchchanges, pretty soon now you're gonna get older time may change me but i can't trace time  i said that time may change me but i can't trace time",1532,312
Charlie Brown by Coldplay,Mylo Xyloto by Coldplay,"ooh, oohoohooh  stole a key took a car downtown where the lost boys meet took a car downtown and took what they offered me to set me free i saw the lights go down at the end of the scene saw the lights go down and standing in front of me  oohoohooh  in my scarecrow dreams when they smash my heart into smithereens be a bright red rose come bursting the concrete be a cartoon heart  light a fire, a fire, a spark light a fire, a flame in my heart we'll run wild, we'll be glowing in the dark oohoohooh we'll be glowing in the dark oohoohooh, ahooh      all the boys, all the girls, all that matters in the world all the boys, all the girls, all the madness that occurs all the highs, all the lows as the room aspinning goes we'll run riot, we'll be glowing in the dark  ooh, oohoohooh, ah  so we'll soar luminous and wired we'll be glowing in the dark",863,188
Cherry by Lana Del Rey,Lust for Life by Lana Del Rey,"love yeah, i said real love is like feelin' no fear when you're standin' in the face of danger hey 'cause you just want it so much  a touch yeah, from your real love is like heaven takin' the place of somethin' evil hey and lettin' it burn off from the rush, yeah, yeah fuck  darlin', darlin', darlin' i fall to pieces when i'm with you i fall to pieces my cherries hey and wine, rosemary and thyme and all of my peaches are ruined  love yeah, is it real love it's like smilin' when the firin' squad's against ya hey and you just stay lined up, yeah fuck  darlin', darlin', darlin' i fall to pieces when i'm with you i fall to pieces bitch my cherries and wine, rosemary and thyme and all of my peaches can i get a fuckin' hallelujah are ruined bitch; lookin' at me like a magazine  my rose garden dreams can i get a fuckin' hallelujah set on fire by fiends sippin' on ya like a cocacola and all my black beaches can i get a fuckin' hallelujah are ruined lookin' at me like a magazine my celluloid scenes can i get a fuckin' hallelujah are torn at the seams sippin' on ya like a cocacola, yeah and i fall to pieces bitch yeah i fall to pieces when i'm with you  why 'cause i love you so much hey i fall to pieces my cherries and wine, rosemary and thyme yeah and all of my peaches are ruined bitch are ruined bitch, are ruined fuck",1385,357
Chimes of Freedom by Bob Dylan,Another Side of Bob Dylan by Bob Dylan,"far between sundown's finish and midnight's broken toll we ducked inside the doorways, thunder went crashing as majestic bells of bolts struck shadows in the sounds seemin' to be the chimes of freedom flashing flashing for the warriors whose strength is not to fight flashing for the refugees on the unarmed road of flight and for each and every underdog soldier in the night and we gazed upon the chimes of freedom flashing  through the city's melted furnace, unexpectedly we watched with faces hidden as the walls were tightening as the echo of the wedding bells before the blowin' rain dissolved into the bells of the lightning tolling for the rebel, tolling for the rake tolling for the luckless, they abandoned and forsaked tolling for the outcast, burning constantly at stake and we gazed upon the chimes of freedom flashing  through the mad mystic hammering of the wild ripping hail the sky cracked its poems in naked wonder that the clinging of the church bells blew far into the breeze leavin' only bells of lightning and its thunder striking for the gentle, striking for the kind striking for the guardians and protectors of the mind and the poet and the painter far behind his rightful time and we gazed upon the chimes of freedom flashing  and the wild cathedral evening the rain unraveled tales for disrobed faceless forms of no position tolling for the tongues with no place to bring their thoughts all down in takenforgranted situations tolling for the deaf and blind, tolling for the mute for the mistreated, mateless mother, the mistitled prostitute for the misdemeanor outlaw, chained and cheated by pursuit and we gazed upon the chimes of freedom flashing  even though a cloud's white curtain in a faroff corner flared and the hypnotic splattered mist was slowly lifting electric light still struck like arrows, fired but for the ones condemned to drift or else be kept from driftin' tolling for the searching ones, on their speechless, seeking trail for the lonesomehearted lovers with too personal a tale and for each unharmful, gentle soul misplaced inside a jail and we gazed upon the chimes of freedom flashing  starryeyed and laughing as i recall when we were caught trapped by no track of hours for they hanged suspended as we listened one last time and we watched with one last look spellbound and swallowed 'til the tolling ended tolling for the aching whose wounds cannot be nursed for the countless confused, accused, misused, strungout ones and worse and for every hungup person in the whole wide universe and we gazed upon the chimes of freedom flashin'",2633,474
Chinese Sleep Chant by Coldplay,Viva La Vida or Death and All His Friends by Coldplay,"fall asleep fall asleep sleep and you'll be satisfied sleep and you'll be satisfied fall asleep fall asleep sleep and you'll be satisfied sleep and you'll be satisfied  sleep sleep, sleep sleep sleep sleep and you'll be satisfied sleep and you'll be satisfied  fall asleep fall asleep sleep and you'll be crucified sleep and you'll be crucified fall asleep fall asleep sleep and you'll be satisfied sleep and you'll be satisfied       sleep sleep sleep and you'll be sleep sleep sleep and you'll be satisfied sleep and you'll be satisfied",538,103
Cinnamon Girl by Lana Del Rey,Norman Fucking Rockwell by Lana Del Rey,"cinnamon in my teeth from your kiss, you're touching me all the pills that you take violet, blue, green, red to keep me at arm's length don't work you try to push me out, but i just find my way back in violet, blue, green, red to keep me out, i win  there's things i wanna say to you but i'll just let you live like if you hold me without hurting me you'll be the first who ever did there's things i wanna talk about but better not to give but if you hold me without hurting me you'll be the first who ever did  ah, ah, ah, ah, ah, ah hold me, love me, touch me, honey be the first who ever did ah, ah, ah, ah, ah, ah hold me, love me, touch me, honey be the first who ever did  kerosene in my hands you make me mad, on fire again all the pills that you take violet, blue, green, red to keep me at arm's length don't work  there's things i wanna say to you but i'll just let you live like if you hold me without hurting me you'll be the first who ever did there's things i wanna talk about but better not to give but if you hold me without hurting me you'll be the first who ever did  ah, ah, ah, ah, ah, ah hold me, love me, touch me, honey be the first who ever did ah, ah, ah, ah, ah, ah hold me, love me, touch me, honey be the first who ever did  there's things i wanna say to you but i'll just let you live like if you hold me without hurting me you'll be the first who ever did there's things i wanna talk about but better not to give like if you hold me without hurting me you'll be the first who ever did",1513,390
Clean by Taylor Swift, by Taylor Swift,"the drought was the very worst, ahah, ahah when the flowers that we'd grown together died of thirst it was months and months of back and forth, ahah, ahah you're still all over me like a winestained dress i can't wear anymore  hung my head as i lost the war and the sky turned black like a perfect storm  the rain came pouring down when i was drownin', that's when i could finally breathe and by mornin' gone was any trace of you, i think i am finally clean  there was nothin' left to do, ahah, ahah when the butterflies turned to dust that covered my whole room so i punched a hole in the roof, ahah, ahah let the flood carry away all my pictures of you  the water filled my lungs, i screamed so loud but no one heard a thing  the rain came pouring down when i was drownin', that's when i could finally breathe and by mornin' gone was any trace of you, i think i am finally clean  i think i am finally clean ahahahahah said, i think i am finally clean ahahahah  ten months sober, i must admit just because you're clean, don't mean you don't miss it ten months older, i won't give in now that i'm clean, i'm never gonna risk it the drought was the very worst, ahah, ahah when the flowers that we'd grown together died of thirst oh  the rain came pouring down when i was drownin', that's when i could finally breathe and by mornin' gone was any trace of you, i think i am finally clean the rain came pouring down when i was drownin', that's when i could finally breathe and by mornin' gone was any trace of you, i think i am finally clean finally clean think i'm finally clean ahah, ahah think i'm finally clean",1630,362
Climbing Up the Walls by Radiohead,OK Computer by Radiohead,i am the key to the lock in your house that keeps your toys in the basement but if you get too far inside you'll only see my reflection it's always best with the covers up i am the pick in the ice do not cry out or hit the alarm you know we're friends till we die  but either way you turn i'll be there open up your skull i'll be there climbing up the walls  it's always best when the light is off it's always better on the outside fifteen blows to the back of your head fifteen blows to your mind so lock the kids up safe tonight shut the eyes in the cupboard i've got the smell of a local man who's got the loneliest feeling  that either way he turns i'll be there open up your skull i'll be there climbing up the walls  climbing up the walls climbing up the walls,766,168
Clocks by Coldplay,A Rush of Blood to the Head by Coldplay,"the lights go out, and i can't be saved tides that i tried to swim against have brought me down upon my knees oh, i beg, i beg and plead, singin' come out of things unsaid shoot an apple off my head, and a trouble that can't be named a tiger's waitin' to be tamed, singin'  you are you are  confusion never stops closin' walls and tickin' clocks, gonna come back and take you home i could not stop, that you now know, singin' come out upon my seas cursed missed opportunities, am i a part of the cure or am i part of the disease singin'  you are you are you are you are      you are you are  and nothin' else compares oh, nothin' else compares and nothin' else compares  you are you are  home, home, where i wanted to go home, home, where i wanted to go home you are home, where i wanted to go home you are home, where i wanted to go",839,204
Clouds by One Direction,FOUR by One Direction,"ohohohoh clouds ohohohoh clouds  i know you say that you don't like it complicated that we should try to keep it simple but love is never, ever simple, no someday, you're gonna see the things that i see you're gonna want the air that i breathe you're gonna wish you never left me  here we go again another goround for all of my friends another nonstop, will it ever end here we go again another goround for all of my friends another nonstop, will it ever end if we're never comin' back down yeah, we're lookin' down on the clouds  ohohohoh ohohohoh ohohohoh ohohohoh  i know you said that you don't like it complicated that you are tired of all the changes well, love is always, always changing, woah but someday, you're gonna see the things that i see you're gonna want the air that i breathe you're gonna wish you never left me  here we go again another goround for all of my friends another nonstop, will it ever end here we go again another goround for all of my friends another nonstop, will it ever end if we're never comin' back down yeah, we're lookin' down on the clouds  and we go, and we go, and we go, and we don't stop clouds no, we don't, no, we don't, no, we don't ever grow up clouds and we go, and we go, and we go, and we don't stop clouds no, we don't, no, we don't, no, we don't ever grow up  here we go again another goround for all of my friends another nonstop, will it ever end here we go again another goround for all of my friends another nonstop, will it ever end here we go again and we go, and we go, and we go, and we don't stop here we go again another goround for all of my friends here we go again no, we don't, no, we don't, no, we don't ever grow up another nonstop, will it ever end here we go again here we go again and we go, and we go, and we go, and we don't stop another goround for all of my friends another nonstop, will it ever end here we go again50",1965,488
Coachella  Woodstock in My Mind by Lana Del Rey,Lust for Life by Lana Del Rey,"i was at coachella leanin' on your shoulder watchin' your husband swing in time i guess i was in it 'cause, baby, for a minute it was woodstock in my mind in the next mornin', they put out the warnin' tensions were risin' over country lines i turned off the music, tried to sit and use it all of the love that i saw that night  'cause what about all these children and what about all their parents and what about all their crowns they wear in hair so long like mine and what about all their wishes wrapped up like garland roses around their little heads i said a prayer for a third time  i'd trade it all for a stairway to heaven a stairway, stairway to heaven i'd take my time for the climb up to the top of it a stairway i'd trade the fame and the fortune and the legend stairway i'd give it all away if you give me just one day to ask him one question i'd give it all away if you give me just one day to ask him one question  i was at coachella leanin' on your shoulder watchin' your husband swing and shine i'd say he was hella cool to win them over critics can be so mean sometimes he was on his knees and i thought he was breakin' 'em down with his words and his voice divine doesn't take a genius to know what you've got goin' and to not wanna lose it 'cause they lost their minds  what about all these children and all their children's children and why am i even wonderin' that today maybe my contribution could be as small as hoping that words could turn to birds and birds would send my thoughts your way  i'd trade it all for a stairway to heaven a stairway, stairway to heaven i'd take my time for the climb up to the top of it a stairway i'd trade the fame and the fortune and the legend stairway i'd give it all away if you give me just one day to ask him one question i'd give it all away if you give me just one day to ask him one question  a stairway, stairway to heaven nana, nana a stairway got a million things i wanna say like, what's it all for will it be okay a stairway, stairway to heaven million things i wanna say like, what's it all for a stairway  ooh ooh stairway, stairway to heaven ooh nana ooh stairway oh stairway, stairway to heaven oh stairway",2210,504
Codex by Radiohead,The King of Limbs by Radiohead,sleight of hand jump off the end into a clear lake no one around just dragonflies fantasised no one gets hurt you've done nothing wrong  oohooh oohooh  slide your hand jump off the end the water's clear and innocent the water's clear and innocent ,249,47
Colour Spectrum by Coldplay,A Head Full of Dreams by Coldplay, because each has been sent as a guide    ,42,8
Come Back Be Here by Taylor Swift,Red by Taylor Swift,"you said it in a simple way  am the second day how strange that i don't know you at all stumbled through the long goodbye one last kiss, then catch your flight right when i was just about to fall  i told myself, don't get attached but in my mind, i play it back spinning faster than the plane that took you  and this is when the feeling sinks in i don't wanna miss you like this come back, be here, come back, be here i guess you're in new york today i don't wanna need you this way come back, be here, come back, be here  the delicate beginning rush the feeling you can know so much without knowing anything at all and now that i can put this down if i had known what i know now i never would've played so nonchalant  taxi cabs and busy streets that never bring you back to me i can't help but wish you took me with you  and this is when the feeling sinks in i don't wanna miss you like this come back, be here, come back, be here i guess you're in london today and i don't wanna need you this way come back, be here, come back, be here  this is falling in love in the cruelest way this is falling for you when you are worlds away in new york, be here but you're in london, and i break down 'cause it's not fair that you're not around  this is when the feeling sinks in i don't wanna miss you like this come back, be here, come back, be here i guess you're in new york today and i don't wanna need you this way come back, be here, come back, be here ohoh, ohoh i don't wanna miss you like this ohoh, ohoh come back, be here come back, be here",1549,367
Come In With the Rain by Taylor Swift,Fearless Platinum Edition by Taylor Swift,"i could go back to every laugh but i don't wanna go there anymore and i know all the steps up to your door but i don't wanna go there anymore  talk to the wind, talk to the sky talk to the man with the reasons why and let me know what you find  i'll leave my window open 'cause i'm too tired at night to call your name just know i'm right here hoping that you'll come in with the rain  i could stand up and sing you a song but i don't wanna have to go that far and i, i've got you down, i know you by heart and you don't even know where i start  talk to yourself, talk to the tears talk to the man who put you here and don't wait for the sky to clear  i'll leave my window open 'cause i'm too tired at night to call your name just know i'm right here hoping that you'll come in with the rain  i've watched you so long, screamed your name i don't know what else i can say  but i'll leave my window open 'cause i'm too tired at night for all these games just know i'm right here hoping that you'll come in with the rain  i could go back to every laugh but i don't wanna go there anymore",1084,259
Copper Kettle The Pale Moonlight by Bob Dylan,Self Portrait by Bob Dylan,"get you a copper kettle, get you a copper coil fill it with new made corn mash and never more you'll toil we'll just lay there by the juniper while the moon is bright watch them jugs afilling in the pale moonlight  build you a fire with hickory, hickory, ash and oak don't use no green or rotten wood, they'll get you by the smoke we'll just lay there by the juniper while the moon is bright watch them jugs afilling in the pale moonlight  my daddy he made whiskey, my granddaddy he did too we ain't paid no whiskey tax since  we'll just lay there by the juniper while the moon is bright watch them jugs afilling in the pale moonlight in the pale moonlight",700,146
Cornelia Street by Taylor Swift,Lover by Taylor Swift,"we were in the backseat drunk on something stronger than the drinks in the bar i rent a place on cornelia street i say casually in the car we were a fresh page on the desk filling in the blanks as we go as if the street lights pointed in an arrow head leading us home  and i hope i never lose you, hope it never ends i'd never walk cornelia street again that's the kinda heartbreak time could never mend i'd never walk cornelia street again and baby, i get mystified by how this city screams your name and baby, i'm so terrified of if you ever walk away i'd never walk cornelia street again i'd never walk cornelia street again  windows flung right open, autumn air jacket 'round my shoulders is yours we bless the rains on cornelia street memorize the creaks in the floor back when we were card sharks, playing games i thought you were leading me on i packed my bags, left cornelia street before you even knew i was gone  but then you called, showed your hand i turned around before i hit the tunnel sat on the roof, you and i  i hope i never lose you, hope it never ends i'd never walk cornelia street again that's the kinda heartbreak time could never mend i'd never walk cornelia street again and baby, i get mystified by how this city screams your name city screams your name and baby, i'm so terrified of if you ever walk away i'd never walk cornelia street again i'd never walk cornelia street again you hold my hand on the street walk me back to that apartment years ago, we were just inside barefoot in the kitchen sacred new beginnings that became my religion, listen  i hope i never lose you i'd never walk cornelia street again oh, never again and baby, i get mystified by how this city screams your name city screams your name and baby, i'm so terrified of if you ever walk away i'd never walk cornelia street again i'd never walk cornelia street again i don't wanna lose you hope it never ends i'd never walk cornelia street again i don't wanna lose you yeah  i rent a place on cornelia street i say casually in the car",2033,423
Creep by Radiohead,Pablo Honey by Radiohead,when you were here before couldn't look you in the eye you're just like an angel your skin makes me cry you float like a feather in a beautiful world  i wish i was special you're so fuckin' special  but i'm a creep i'm a weirdo what the hell am i doing here i don't belong here  i don't care if it hurts i wanna have control i want a perfect body i want a perfect soul i want you to notice when i'm not around  you're so fuckin' special i wish i was special  but i'm a creep i'm a weirdo what the hell am i doing here i don't belong here ohoh ohoh  she's running out the door she's running out she run run run run run  whatever makes you happy whatever you want you're so fuckin' special i wish i was special but i'm a creep i'm a weirdo what the hell am i doing here i don't belong here i don't belong here,809,190
